data,cases,delta_cases,avg_3gg,delta_contagi_prot,ew_cases_normalized,swabs_rl,positive_swabs_percentage,new_cases,new_cases_test_percentage,cumulative_cases_screening,daily_cases_screening,var_percentage
24-mar-20,33150,2150,,1643,269,3453,47.582,,,,,
25-mar-20,35190,2040,2130,2543,255,4971,51.157,,,,,
26-mar-20,37230,2040,,2409,255,6047,39.838,,,,,
27-mar-20,39210,1980,,2117,248,8147,25.985,,,,,
28-mar-20,40575,1365,1795,1592,171,6643,23.965,,,,,
29-mar-20,41330,755,,1154,94,4895,23.575,,,,,
30-mar-20,43075,1745,,1047,218,3659,28.614,,,,,
31-mar-20,44620,1545,1348,1565,193,3583,43.678,,,,,
01-apr-20,46420,1800,,1292,225,6809,18.975,,,,,
02-apr-20,48020,1600,,1455,200,6837,21.281,,,,,
03-apr-20,49670,1650,1683,1598,206,6765,23.622,,,,,
04-apr-20,50730,1060,,1337,133,6826,19.587,,,,,
05-apr-20,51370,640,,1079,80,8107,13.309,,,,,
06-apr-20,52940,1570,1090,791,196,5005,15.804,,,,,
07-apr-20,54420,1480,,1089,185,4342,25.081,,,,,
08-apr-20,55910,1490,,1388,186,8226,16.873,,,,,
09-apr-20,57830,1920,1630,1246,240,9396,13.261,,,,,
10-apr-20,59880,2050,,1544,256,9372,16.475,,,,,
11-apr-20,61000,1120,,1460,140,9977,14.634,,,,,
12-apr-20,61570,570,1247,1262,71,9530,13.242,,,,,
13-apr-20,62130,560,,1012,70,5260,19.240,,,,,
14-apr-20,63270,1140,,827,143,3778,21.890,,,,,
15-apr-20,64640,1370,1023,941,171,7098,13.257,,,,,
16-apr-20,65880,1240,,1041,155,10706,9.724,,,,,
17-apr-20,67180,1300,,1246,163,10839,11.496,,,,,
18-apr-20,67900,720,1087,855,90,11818,7.235,,,,,
19-apr-20,69791,1891,,735,236,8824,8.330,,,,,
20-apr-20,70867,1076,,960,135,6331,15.163,,,,,
21-apr-20,71833,966,1311,1161,121,13502,8.599,10990,10.564,,,
22-apr-20,73048,1215,,1073,152,12016,8.930,6128,17.510,,,
